,GID,exporter_group,Adjusted_deforestation_exposure,Producer country,Year,Commodity
132,BOL.8.10_2,INOLSA SRL,0.2773048265874714,Bolivia,2021,Soya beans
133,BOL.8.10_2,INTEGRAL AGROPECUARIA SA,0.08123225006796363,Bolivia,2021,Soya beans
134,BOL.8.10_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,34.04077527546815,Bolivia,2021,Soya beans
135,BOL.8.10_2,PROCESADORA DE OLEAGINOSAS PROLEGA S.A. PROLEGA S.A.,16.967349388973766,Bolivia,2021,Soya beans
136,BOL.8.10_2,PROCESSED DOMESTICALLY,524.7966639857656,Bolivia,2021,Soya beans
137,BOL.8.10_2,SOCIEDAD AGROINDUSTRIAL NUTRIOIL SA,68.36423700057851,Bolivia,2021,Soya beans
138,BOL.8.10_2,UNKNOWN,619.461869032366,Bolivia,2021,Soya beans
139,BOL.8.11_2,BOLIVIANECOFOODS SRL,0.00982417124183903,Bolivia,2021,Soya beans
140,BOL.8.11_2,CARGILL,21.8854200734669,Bolivia,2021,Soya beans
141,BOL.8.11_2,INDUSTRIAS DE ACEITE S.A.,10.431465769141074,Bolivia,2021,Soya beans
142,BOL.8.11_2,INOLSA SRL,0.009166402818871069,Bolivia,2021,Soya beans
143,BOL.8.11_2,INTEGRAL AGROPECUARIA SA,0.006950844275857047,Bolivia,2021,Soya beans
144,BOL.8.11_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,0.03501482016553394,Bolivia,2021,Soya beans
145,BOL.8.11_2,PROCESADORA DE OLEAGINOSAS PROLEGA S.A. PROLEGA S.A.,5.599032173347211,Bolivia,2021,Soya beans
146,BOL.8.11_2,PROCESSED DOMESTICALLY,1.98574557605196,Bolivia,2021,Soya beans
147,BOL.8.11_2,UNKNOWN,26.228899371222774,Bolivia,2021,Soya beans
148,BOL.8.12_2,AGROINDUSTRIA CAICO SA,4.2886770224414565,Bolivia,2021,Soya beans
149,BOL.8.12_2,AGROPECUARIA FRANCESCA SA,1.7461042162797367,Bolivia,2021,Soya beans
150,BOL.8.12_2,AGROTRAM SRL,18.632351335576498,Bolivia,2021,Soya beans
151,BOL.8.12_2,ASOCIACION DE PRODUCTORES DE OLEAGINOSAS & TRIGO,27.84711510848765,Bolivia,2021,Soya beans
152,BOL.8.12_2,BOLIVIANECOFOODS SRL,0.051057906358228496,Bolivia,2021,Soya beans
153,BOL.8.12_2,CALIDAD FREJOLERA BOLIVIANA IMPORT EXPORT SRL,0.7264406207869765,Bolivia,2021,Soya beans
154,BOL.8.12_2,CARGILL,145.90154341648838,Bolivia,2021,Soya beans
155,BOL.8.12_2,ECO GRANOS SRL,7.852363405374956,Bolivia,2021,Soya beans
156,BOL.8.12_2,EMPRESA DE TRANSFORMACION AGROINDUSTRIAL SA - ETASA,12.652984186308835,Bolivia,2021,Soya beans
157,BOL.8.12_2,FADEAGRO LTDA,0.5125990155394313,Bolivia,2021,Soya beans
158,BOL.8.12_2,GO AGRO SRL,14.045927805284158,Bolivia,2021,Soya beans
159,BOL.8.12_2,ILMER RODRIGO VALDEZ RETAMOSO - EXPORT GRAINCRUZ,9.16236022415123,Bolivia,2021,Soya beans
160,BOL.8.12_2,INDUSTRIAS DE ACEITE S.A.,50.751495357718916,Bolivia,2021,Soya beans
161,BOL.8.12_2,INOLSA SRL,0.0476403698087837,Bolivia,2021,Soya beans
162,BOL.8.12_2,INTEGRAL AGROPECUARIA SA,0.04242279913889404,Bolivia,2021,Soya beans
163,BOL.8.12_2,LAGUNA BOLIVIAN AGROTRADER SRL,26.487175624671462,Bolivia,2021,Soya beans
164,BOL.8.12_2,MONICA SA,1.1436472059843887,Bolivia,2021,Soya beans
165,BOL.8.12_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,8.143161977862835,Bolivia,2021,Soya beans
166,BOL.8.12_2,PROCESADORA DE OLEAGINOSAS PROLEGA S.A. PROLEGA S.A.,34.532646314469304,Bolivia,2021,Soya beans
167,BOL.8.12_2,PROCESSED DOMESTICALLY,90.58201625252832,Bolivia,2021,Soya beans
168,BOL.8.12_2,SOYAGRAIN SRL,219.04816126414684,Bolivia,2021,Soya beans
169,BOL.8.12_2,SOYPEANUTS SRL,4.145721121693408,Bolivia,2021,Soya beans
170,BOL.8.12_2,SUPERGRAIN SRL,65.1051805413916,Bolivia,2021,Soya beans
171,BOL.8.12_2,TITO TIBURCIO POCOMANI MEDRANO - INVERSIONES AGROPECUARIAS SAMARY-INAGROS IMPORT-EXPORT,7.050380802178402,Bolivia,2021,Soya beans
172,BOL.8.12_2,UNKNOWN,315.1024183478058,Bolivia,2021,Soya beans
173,BOL.8.12_2,VEIZAGA MICHEL RENAN - IMPORT EXPORT SEIJI,4.379106840800366,Bolivia,2021,Soya beans
174,BOL.8.14_2,AGROINDUSTRIA CAICO SA,192.56191041567527,Bolivia,2021,Soya beans
175,BOL.8.14_2,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,9.393425502411928,Bolivia,2021,Soya beans
176,BOL.8.14_2,AGROTRAM SRL,92.08639341552374,Bolivia,2021,Soya beans
177,BOL.8.14_2,ASOCIACION DE PRODUCTORES DE OLEAGINOSAS & TRIGO,141.60855865783384,Bolivia,2021,Soya beans
178,BOL.8.14_2,BOLIVIANECOFOODS SRL,0.6161189629794719,Bolivia,2021,Soya beans
179,BOL.8.14_2,CAINSA SRL,18.34756913529605,Bolivia,2021,Soya beans
180,BOL.8.14_2,CARGILL,241.2501541170104,Bolivia,2021,Soya beans
181,BOL.8.14_2,COMERCIAL INDUSTRIAL AGROPECUARIA CIAGRO SA,197.61641921112619,Bolivia,2021,Soya beans
182,BOL.8.14_2,EMPRESA AGROINDUSTRIAL D F &R SRL,396.26659328436966,Bolivia,2021,Soya beans
183,BOL.8.14_2,EMPRESA AGROINDUSTRIAL FIDERO SRL,438.5470916332883,Bolivia,2021,Soya beans
184,BOL.8.14_2,FORTRADE SRL,0.3521819498772818,Bolivia,2021,Soya beans
185,BOL.8.14_2,GRAVETAL BOLIVIA SA,799.4314859558597,Bolivia,2021,Soya beans
186,BOL.8.14_2,INDUSTRIAS OLEAGINOSAS S.A.,1029.0057399932023,Bolivia,2021,Soya beans
187,BOL.8.14_2,INOLSA SRL,0.5748672798946199,Bolivia,2021,Soya beans
188,BOL.8.14_2,INTEGRAL AGROPECUARIA SA,0.2020137273588988,Bolivia,2021,Soya beans
189,BOL.8.14_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,285.6666810868487,Bolivia,2021,Soya beans
190,BOL.8.14_2,PROCESSED DOMESTICALLY,1061.126736306499,Bolivia,2021,Soya beans
191,BOL.8.14_2,SOCIEDAD AGROINDUSTRIAL NUTRIOIL SA,948.471407446941,Bolivia,2021,Soya beans
192,BOL.8.14_2,UNKNOWN,2458.3505351569074,Bolivia,2021,Soya beans
193,BOL.8.15_2,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,0.04262387787021129,Bolivia,2021,Soya beans
194,BOL.8.15_2,AGROTRAM SRL,0.4178538686918503,Bolivia,2021,Soya beans
195,BOL.8.15_2,BOLIVIANECOFOODS SRL,0.0037438131867464208,Bolivia,2021,Soya beans
196,BOL.8.15_2,CAINSA SRL,0.08325445768823235,Bolivia,2021,Soya beans
197,BOL.8.15_2,EMPRESA DE TRANSFORMACION AGROINDUSTRIAL SA - ETASA,0.1914233459823004,Bolivia,2021,Soya beans
198,BOL.8.15_2,FORTRADE SRL,0.0015980709503479538,Bolivia,2021,Soya beans
199,BOL.8.15_2,INDUSTRIAS OLEAGINOSAS S.A.,0.34384706711507645,Bolivia,2021,Soya beans
200,BOL.8.15_2,INOLSA SRL,0.0034931495902849404,Bolivia,2021,Soya beans
201,BOL.8.15_2,INTEGRAL AGROPECUARIA SA,0.0004997901335023092,Bolivia,2021,Soya beans
202,BOL.8.15_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,1.2941493574859229,Bolivia,2021,Soya beans
203,BOL.8.15_2,PROCESSED DOMESTICALLY,7.541023524729062,Bolivia,2021,Soya beans
204,BOL.8.15_2,UNKNOWN,11.544880765443647,Bolivia,2021,Soya beans
205,BOL.8.1_2,BOLIVIANECOFOODS SRL,8.051781924736414e-06,Bolivia,2021,Soya beans
206,BOL.8.1_2,EMPRESA DE TRANSFORMACION AGROINDUSTRIAL SA - ETASA,6.058603456962249,Bolivia,2021,Soya beans
207,BOL.8.1_2,INOLSA SRL,4.507609326933291e-06,Bolivia,2021,Soya beans
208,BOL.8.1_2,PROCESSED DOMESTICALLY,40.83343952706773,Bolivia,2021,Soya beans
209,BOL.8.1_2,UNKNOWN,36.71738570538201,Bolivia,2021,Soya beans
210,BOL.8.3_2,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,1.254272154288846,Bolivia,2021,Soya beans
211,BOL.8.3_2,AGROTRAM SRL,12.295982868051926,Bolivia,2021,Soya beans
212,BOL.8.3_2,BOLIVIANECOFOODS SRL,0.2742981248348666,Bolivia,2021,Soya beans
213,BOL.8.3_2,CAINSA SRL,2.44988849481825,Bolivia,2021,Soya beans
214,BOL.8.3_2,CARGILL,315.72772117352315,Bolivia,2021,Soya beans
215,BOL.8.3_2,FORTRADE SRL,0.047025657771044456,Bolivia,2021,Soya beans
216,BOL.8.3_2,GRAVETAL BOLIVIA SA,1128.3406441098743,Bolivia,2021,Soya beans
217,BOL.8.3_2,HUGO SPECHAR GONZALES - GRANOS,320.0448271238978,Bolivia,2021,Soya beans
218,BOL.8.3_2,INDUSTRIAS OLEAGINOSAS S.A.,222.42781374942126,Bolivia,2021,Soya beans
219,BOL.8.3_2,INOLSA SRL,0.255932744126995,Bolivia,2021,Soya beans
220,BOL.8.3_2,INTEGRAL AGROPECUARIA SA,0.0856685301838537,Bolivia,2021,Soya beans
221,BOL.8.3_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,38.43977236063073,Bolivia,2021,Soya beans
222,BOL.8.3_2,PROCESSED DOMESTICALLY,2220.2004309791027,Bolivia,2021,Soya beans
223,BOL.8.3_2,SOCIEDAD AGROINDUSTRIAL NUTRIOIL SA,586.330686007669,Bolivia,2021,Soya beans
224,BOL.8.3_2,UNKNOWN,1023.6294145277307,Bolivia,2021,Soya beans
225,BOL.8.4_2,UNKNOWN,195.16845262582825,Bolivia,2021,Soya beans
226,BOL.8.7_2,AGROINDUSTRIA CAICO SA,417.9134087458852,Bolivia,2021,Soya beans
227,BOL.8.7_2,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,16.116304737092246,Bolivia,2021,Soya beans
228,BOL.8.7_2,AGROTRAM SRL,157.99267030363723,Bolivia,2021,Soya beans
229,BOL.8.7_2,BOLIVIANECOFOODS SRL,1.4452621355150073,Bolivia,2021,Soya beans
230,BOL.8.7_2,CAINSA SRL,31.47893335539566,Bolivia,2021,Soya beans
231,BOL.8.7_2,FORTRADE SRL,0.6042387439670693,Bolivia,2021,Soya beans
232,BOL.8.7_2,INDUSTRIAS DE ACEITE S.A.,2342.6029138718195,Bolivia,2021,Soya beans
233,BOL.8.7_2,INDUSTRIAS OLEAGINOSAS S.A.,1475.994249843536,Bolivia,2021,Soya beans
234,BOL.8.7_2,INOLSA SRL,1.348495927735118,Bolivia,2021,Soya beans
235,BOL.8.7_2,INTEGRAL AGROPECUARIA SA,0.3089903325947285,Bolivia,2021,Soya beans
236,BOL.8.7_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,489.9290312561503,Bolivia,2021,Soya beans
237,BOL.8.7_2,PROCESSED DOMESTICALLY,265.1919579896575,Bolivia,2021,Soya beans
238,BOL.8.7_2,UNKNOWN,3638.8054757455975,Bolivia,2021,Soya beans
239,BOL.8.8_2,AGROINDUSTRIA CAICO SA,0.5117303883899083,Bolivia,2021,Soya beans
240,BOL.8.8_2,AGROPECUARIA FRANCESCA SA,0.2083473724158912,Bolivia,2021,Soya beans
241,BOL.8.8_2,AGROTRAM SRL,2.223235822068003,Bolivia,2021,Soya beans
242,BOL.8.8_2,ASOCIACION DE PRODUCTORES DE OLEAGINOSAS & TRIGO,3.3227531370251127,Bolivia,2021,Soya beans
243,BOL.8.8_2,BOLIVIANECOFOODS SRL,0.0009459875680042182,Bolivia,2021,Soya beans
244,BOL.8.8_2,CALIDAD FREJOLERA BOLIVIANA IMPORT EXPORT SRL,0.0866798173591306,Bolivia,2021,Soya beans
245,BOL.8.8_2,CARGILL,1.3030848818643026,Bolivia,2021,Soya beans
246,BOL.8.8_2,ECO GRANOS SRL,0.9369539730281892,Bolivia,2021,Soya beans
247,BOL.8.8_2,EMPRESA DE TRANSFORMACION AGROINDUSTRIAL SA - ETASA,6.952468157704406,Bolivia,2021,Soya beans
248,BOL.8.8_2,FADEAGRO LTDA,0.061163965469460464,Bolivia,2021,Soya beans
249,BOL.8.8_2,GO AGRO SRL,1.6759779422612824,Bolivia,2021,Soya beans
250,BOL.8.8_2,ILMER RODRIGO VALDEZ RETAMOSO - EXPORT GRAINCRUZ,1.0932644569732601,Bolivia,2021,Soya beans
251,BOL.8.8_2,INDUSTRIAS DE ACEITE S.A.,10.284432837507827,Bolivia,2021,Soya beans
252,BOL.8.8_2,INOLSA SRL,0.0008643450233933354,Bolivia,2021,Soya beans
253,BOL.8.8_2,INTEGRAL AGROPECUARIA SA,3.439450772160596e-05,Bolivia,2021,Soya beans
254,BOL.8.8_2,LAGUNA BOLIVIAN AGROTRADER SRL,3.1604834308666723,Bolivia,2021,Soya beans
255,BOL.8.8_2,MONICA SA,0.13646143690397555,Bolivia,2021,Soya beans
256,BOL.8.8_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,0.9463762385141284,Bolivia,2021,Soya beans
257,BOL.8.8_2,PROCESSED DOMESTICALLY,44.320444003588946,Bolivia,2021,Soya beans
258,BOL.8.8_2,SOYAGRAIN SRL,26.13710476523236,Bolivia,2021,Soya beans
259,BOL.8.8_2,SOYPEANUTS SRL,0.4946727087769112,Bolivia,2021,Soya beans
260,BOL.8.8_2,SUPERGRAIN SRL,7.768432817464801,Bolivia,2021,Soya beans
261,BOL.8.8_2,TITO TIBURCIO POCOMANI MEDRANO - INVERSIONES AGROPECUARIAS SAMARY-INAGROS IMPORT-EXPORT,0.8412603903992765,Bolivia,2021,Soya beans
262,BOL.8.8_2,UNKNOWN,40.25906328152833,Bolivia,2021,Soya beans
263,BOL.8.8_2,VEIZAGA MICHEL RENAN - IMPORT EXPORT SEIJI,0.5225205891508155,Bolivia,2021,Soya beans
